,Brighton,London Victoria
01/01/2020,"1,210","2,550"
02/01/2020,815,"1,544"
03/01/2020,808,"1,538"
04/01/2020,756,"1,392"
05/01/2020,412,684
06/01/2020,805,"1,535"
07/01/2020,820,"1,552"
08/01/2020,817,"1,557"
09/01/2020,816,"1,555"
10/01/2020,809,"1,547"
11/01/2020,764,"1,602"
12/01/2020,421,"1,037"
13/01/2020,798,"1,533"
14/01/2020,811,"1,546"
15/01/2020,809,"1,550"
16/01/2020,809,"1,560"
17/01/2020,809,"1,561"
18/01/2020,793,"1,541"
19/01/2020,404,"1,136"
20/01/2020,810,"1,545"
21/01/2020,826,"1,542"
22/01/2020,822,"1,553"
23/01/2020,820,"1,545"
24/01/2020,831,"1,544"
25/01/2020,748,"1,375"
26/01/2020,405,"1,108"
27/01/2020,795,"1,539"
28/01/2020,812,"1,535"
29/01/2020,809,"1,531"
30/01/2020,811,"1,543"
31/01/2020,808,"1,535"
01/02/2020,751,"1,383"
02/02/2020,355,"1,080"
03/02/2020,809,"1,547"
04/02/2020,823,"1,563"
05/02/2020,826,"1,536"
06/02/2020,826,"1,542"
07/02/2020,814,"1,542"
08/02/2020,787,"1,425"
09/02/2020,421,"1,142"
10/02/2020,804,"1,548"
11/02/2020,807,"1,556"
12/02/2020,807,"1,557"
13/02/2020,808,"1,558"
14/02/2020,809,"1,554"
15/02/2020,748,"1,595"
16/02/2020,399,767
17/02/2020,805,"1,597"
18/02/2020,818,"1,601"
19/02/2020,815,"1,599"
20/02/2020,818,"1,598"
21/02/2020,810,"1,598"
22/02/2020,756,"1,549"
23/02/2020,415,"1,029"
24/02/2020,801,"1,549"
25/02/2020,813,"1,546"
26/02/2020,812,"1,546"
27/02/2020,813,"1,561"
28/02/2020,813,"1,544"
29/02/2020,735,"1,398"
01/03/2020,420,961
02/03/2020,810,"1,542"
03/03/2020,826,"1,560"
04/03/2020,826,"1,559"
05/03/2020,824,"1,572"
06/03/2020,823,"1,563"
07/03/2020,750,"1,392"
08/03/2020,340,"1,134"
09/03/2020,807,"1,543"
10/03/2020,818,"1,548"
11/03/2020,825,"1,560"
12/03/2020,820,"1,553"
13/03/2020,815,"1,550"
14/03/2020,838,"1,397"
15/03/2020,564,"1,116"
16/03/2020,802,"1,553"
17/03/2020,822,"1,546"
18/03/2020,821,"1,540"
19/03/2020,824,"1,543"
20/03/2020,823,"1,561"
21/03/2020,822,"1,458"
22/03/2020,403,"1,152"
23/03/2020,"1,308","2,714"
24/03/2020,"1,335","2,724"
25/03/2020,"1,334","2,724"
26/03/2020,"1,331","2,726"
27/03/2020,"1,331","2,730"
28/03/2020,844,"1,502"
29/03/2020,478,"1,138"
30/03/2020,"1,178","2,517"
31/03/2020,"1,201","2,525"
01/04/2020,"1,200","2,522"
02/04/2020,"1,197","2,520"
03/04/2020,"1,200","2,526"
04/04/2020,"1,146","2,100"
05/04/2020,328,"1,097"
06/04/2020,"1,177","2,520"
07/04/2020,"1,196","2,522"
08/04/2020,"1,195","2,521"
09/04/2020,"1,198","2,516"
10/04/2020,"1,198","2,445"
11/04/2020,"1,145","2,123"
12/04/2020,420,"1,001"
13/04/2020,"1,177","2,436"
14/04/2020,"1,201","2,535"
15/04/2020,"1,203","2,518"
16/04/2020,"1,202","2,520"
17/04/2020,"1,201","2,516"
18/04/2020,"1,142","2,103"
19/04/2020,415,614
20/04/2020,"1,176","2,508"
21/04/2020,"1,199","2,525"
22/04/2020,"1,199","2,527"
23/04/2020,"1,199","2,525"
24/04/2020,"1,199","2,521"
25/04/2020,"1,143","1,960"
26/04/2020,416,"1,039"
27/04/2020,"1,184","2,514"
28/04/2020,"1,204","2,526"
29/04/2020,"1,206","2,521"
30/04/2020,"1,208","2,527"
01/05/2020,"1,201","2,527"
02/05/2020,"1,179","2,033"
03/05/2020,466,"1,081"
04/05/2020,"1,185","2,526"
05/05/2020,"1,199","2,532"
06/05/2020,"1,191","2,533"
07/05/2020,"1,196","2,532"
08/05/2020,"1,192","2,534"
09/05/2020,"1,053","2,071"
10/05/2020,420,"1,073"
11/05/2020,"1,179","2,538"
12/05/2020,"1,201","2,536"
13/05/2020,"1,206","2,538"
14/05/2020,"1,206","2,538"
15/05/2020,"1,206","2,547"
16/05/2020,"1,145","2,037"
17/05/2020,449,959
18/05/2020,"1,288","2,585"
19/05/2020,"1,323","2,610"
20/05/2020,"1,321","2,607"
21/05/2020,"1,322","2,608"
22/05/2020,"1,324","2,606"
23/05/2020,"1,169","1,803"
24/05/2020,483,927
25/05/2020,"1,239","2,116"
26/05/2020,"1,316","2,604"
27/05/2020,"1,321","2,605"
28/05/2020,"1,324","2,606"
29/05/2020,"1,319","2,608"
30/05/2020,"1,144","2,066"
31/05/2020,454,903
01/06/2020,"1,291","2,595"
02/06/2020,"1,322","2,613"
03/06/2020,"1,321","2,618"
04/06/2020,"1,322","2,615"
05/06/2020,"1,325","2,609"
06/06/2020,981,"2,004"
07/06/2020,412,"1,082"
08/06/2020,"1,300","2,597"
09/06/2020,"1,310","2,615"
10/06/2020,"1,310","2,614"
11/06/2020,"1,311","2,609"
12/06/2020,"1,317","2,620"
13/06/2020,"1,148","1,923"
14/06/2020,452,"1,009"
15/06/2020,"1,300","2,599"
16/06/2020,"1,317","2,607"
17/06/2020,"1,315","2,608"
18/06/2020,"1,319","2,613"
19/06/2020,"1,319","2,603"
20/06/2020,"1,145","1,994"
21/06/2020,455,"1,052"
22/06/2020,"1,303","2,603"
23/06/2020,"1,323","2,618"
24/06/2020,"1,333","2,618"
25/06/2020,"1,341","2,617"
26/06/2020,"1,338","2,626"
27/06/2020,"1,159","2,004"
28/06/2020,437,920
29/06/2020,"1,300","2,589"
30/06/2020,"1,333","2,626"
01/07/2020,"1,319","2,620"
02/07/2020,"1,319","2,618"
03/07/2020,"1,321","2,619"
04/07/2020,"1,176","2,045"
05/07/2020,436,"1,049"
06/07/2020,"1,294","2,666"
07/07/2020,"1,339","2,690"
08/07/2020,"1,336","2,695"
09/07/2020,"1,332","2,694"
10/07/2020,"1,341","2,684"
11/07/2020,"1,144","2,022"
12/07/2020,445,"1,035"
13/07/2020,"1,302","2,663"
14/07/2020,"1,328","2,707"
15/07/2020,"1,325","2,703"
16/07/2020,"1,329","2,701"
17/07/2020,"1,324","2,704"
18/07/2020,"1,143","2,105"
19/07/2020,448,"1,015"
20/07/2020,"1,297","2,667"
21/07/2020,"1,336","2,697"
22/07/2020,"1,340","2,703"
23/07/2020,"1,331","2,697"
24/07/2020,"1,330","2,698"
25/07/2020,"1,141","2,134"
26/07/2020,510,"1,069"
27/07/2020,"1,300","2,748"
28/07/2020,"1,311","2,765"
29/07/2020,"1,312","2,768"
30/07/2020,"1,315","2,768"
31/07/2020,"1,323","2,774"
01/08/2020,"1,158","2,155"
02/08/2020,462,"1,106"
03/08/2020,"1,304","2,679"
04/08/2020,"1,331","2,705"
05/08/2020,"1,326","2,714"
06/08/2020,"1,326","2,698"
07/08/2020,"1,336","2,704"
08/08/2020,"1,155","2,152"
09/08/2020,486,"1,003"
10/08/2020,"1,295","2,664"
11/08/2020,"1,329","2,697"
12/08/2020,"1,328","2,698"
13/08/2020,"1,328","2,696"
14/08/2020,"1,324","2,693"
15/08/2020,"1,150","2,155"
16/08/2020,453,973
17/08/2020,"1,295","2,673"
18/08/2020,"1,329","2,701"
19/08/2020,"1,328","2,691"
20/08/2020,"1,327","2,684"
21/08/2020,"1,331","2,703"
22/08/2020,"1,145","2,073"
23/08/2020,456,"1,216"
24/08/2020,"1,303","2,687"
25/08/2020,"1,325","2,708"
26/08/2020,"1,332","2,700"
27/08/2020,"1,329","2,702"
28/08/2020,"1,327","2,703"
29/08/2020,"1,148","2,102"
30/08/2020,456,"1,098"
31/08/2020,"1,298","2,508"
01/09/2020,"1,324","2,689"
02/09/2020,"1,327","2,706"
03/09/2020,"1,317","2,702"
04/09/2020,"1,324","2,700"
05/09/2020,"1,149","2,150"
06/09/2020,463,922
07/09/2020,"1,299","2,228"
08/09/2020,"1,332","2,253"
09/09/2020,"1,334","2,256"
10/09/2020,"1,327","2,255"
11/09/2020,"1,328","2,252"
12/09/2020,"1,093","1,938"
13/09/2020,418,"1,089"
14/09/2020,"1,314","2,233"
15/09/2020,"1,338","2,261"
16/09/2020,"1,345","2,261"
17/09/2020,"1,332","2,269"
18/09/2020,"1,332","2,267"
19/09/2020,"1,232","2,066"
20/09/2020,534,"1,079"
21/09/2020,"1,294","2,239"
22/09/2020,"1,319","2,256"
23/09/2020,"1,324","2,251"
24/09/2020,"1,320","2,256"
25/09/2020,"1,330","2,272"
26/09/2020,"1,223","2,061"
27/09/2020,517,992
28/09/2020,"1,296","2,233"
29/09/2020,"1,339","2,258"
30/09/2020,"1,334","2,257"
01/10/2020,"1,332","2,255"
02/10/2020,"1,336","2,262"
03/10/2020,"1,239","2,069"
04/10/2020,336,945
05/10/2020,"1,296","2,250"
06/10/2020,"1,319","2,264"
07/10/2020,"1,319","2,265"
08/10/2020,"1,322","2,274"
09/10/2020,"1,324","2,272"
10/10/2020,"1,058","2,047"
11/10/2020,453,"1,163"
12/10/2020,"1,301","2,239"
13/10/2020,"1,338","2,262"
14/10/2020,"1,332","2,261"
15/10/2020,"1,333","2,259"
16/10/2020,"1,337","2,266"
17/10/2020,"1,113","2,050"
18/10/2020,418,"1,259"
19/10/2020,"1,301","2,241"
20/10/2020,"1,328","2,256"
21/10/2020,"1,322","2,248"
22/10/2020,"1,325","2,252"
23/10/2020,"1,323","2,263"
24/10/2020,"1,151","2,073"
25/10/2020,450,648
26/10/2020,"1,302","2,233"
27/10/2020,"1,329","2,256"
28/10/2020,"1,324","2,254"
29/10/2020,"1,327","2,258"
30/10/2020,"1,333","2,261"
31/10/2020,"1,149","1,840"
01/11/2020,423,"1,092"
02/11/2020,"1,302","2,237"
03/11/2020,"1,330","2,262"
04/11/2020,"1,340","2,268"
05/11/2020,"1,339","2,269"
06/11/2020,"1,332","2,259"
07/11/2020,"1,146","2,062"
08/11/2020,418,"1,003"
09/11/2020,"1,299","2,242"
10/11/2020,"1,325","2,272"
11/11/2020,"1,331","2,283"
12/11/2020,"1,331","2,263"
13/11/2020,"1,332","2,261"
14/11/2020,"1,048","2,136"
15/11/2020,416,"1,059"
16/11/2020,"1,305","2,632"
17/11/2020,"1,328","2,683"
18/11/2020,"1,329","2,677"
19/11/2020,"1,331","2,679"
20/11/2020,"1,334","2,679"
21/11/2020,"1,078","1,851"
22/11/2020,454,562
23/11/2020,"1,298","2,634"
24/11/2020,"1,320","2,668"
25/11/2020,"1,319","2,674"
26/11/2020,"1,318","2,668"
27/11/2020,"1,323","2,676"
28/11/2020,"1,075","1,932"
29/11/2020,463,"1,147"
30/11/2020,"1,302","2,636"
01/12/2020,"1,332","2,671"
02/12/2020,"1,331","2,665"
03/12/2020,"1,329","2,664"
04/12/2020,"1,330","2,667"
05/12/2020,"1,148","2,009"
06/12/2020,455,977
07/12/2020,"1,306","2,636"
08/12/2020,"1,335","2,669"
09/12/2020,"1,337","2,662"
10/12/2020,"1,337","2,670"
11/12/2020,"1,330","2,664"
12/12/2020,"1,147","2,009"
13/12/2020,453,"1,007"
14/12/2020,595,"1,215"
15/12/2020,598,"1,224"
16/12/2020,598,"1,219"
17/12/2020,603,"1,225"
18/12/2020,595,"1,224"
19/12/2020,724,"1,318"
20/12/2020,449,"1,067"
21/12/2020,599,"1,222"
22/12/2020,620,"1,220"
23/12/2020,617,"1,219"
24/12/2020,623,"1,221"
25/12/2020,597,795
26/12/2020,752,"1,476"
27/12/2020,442,755
28/12/2020,"1,230","1,877"
29/12/2020,"1,230","1,982"
30/12/2020,"1,235","1,910"
31/12/2020,"1,225","1,901"
01/01/2021,"1,016","1,700"
02/01/2021,734,"1,323"
03/01/2021,469,973
04/01/2021,591,"1,237"
05/01/2021,611,"1,242"
06/01/2021,610,"1,235"
07/01/2021,609,"1,237"
08/01/2021,609,"1,255"
09/01/2021,718,"1,373"
10/01/2021,264,963
11/01/2021,586,"1,318"
12/01/2021,603,"1,250"
13/01/2021,601,"1,245"
14/01/2021,602,"1,247"
15/01/2021,601,"1,240"
16/01/2021,738,"1,331"
17/01/2021,428,948
18/01/2021,594,"1,257"
19/01/2021,608,"1,250"
20/01/2021,607,"1,245"
21/01/2021,607,"1,242"
22/01/2021,608,"1,240"
23/01/2021,720,"1,321"
24/01/2021,439,937
25/01/2021,591,"1,281"
26/01/2021,610,"1,282"
27/01/2021,605,"1,267"
28/01/2021,607,"1,268"
29/01/2021,600,"1,254"
30/01/2021,726,"1,251"
31/01/2021,438,996
01/02/2021,591,"1,257"
02/02/2021,607,"1,259"
03/02/2021,608,"1,257"
04/02/2021,610,"1,257"
05/02/2021,605,"1,258"
06/02/2021,722,"1,271"
07/02/2021,441,981
08/02/2021,594,"1,673"
09/02/2021,604,"1,664"
10/02/2021,607,"1,661"
11/02/2021,605,"1,660"
12/02/2021,600,"1,657"
13/02/2021,725,818
14/02/2021,449,462
15/02/2021,585,"1,648"
16/02/2021,610,"1,658"
17/02/2021,610,"1,656"
18/02/2021,611,"1,653"
19/02/2021,601,"1,652"
20/02/2021,719,813
21/02/2021,439,471
22/02/2021,"1,058","2,354"
23/02/2021,"1,099","2,366"
24/02/2021,"1,104","2,380"
25/02/2021,"1,084","2,341"
26/02/2021,27,20
